uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4,cons1,cons2,cons3,cons4,buff
4b8640b85a2311f094978878734f76cf,4,1,3791,3,Phainon,Sunday,Sparkle,Tingyun,2.0,1.0,0.0,6.0,Sweeping Force
4b8640b85a2311f094978878734f76cf,4,2,3641,3,Feixiao,Imaginary March 7th,Robin,Gallagher,0.0,6.0,1.0,6.0,Turn of Luck
4b9be0e45a2311f09b2d8878734f76cf,4,1,3733,3,Castorice,Hyacine,Ice Trailblazer,Tribbie,0.0,0.0,6.0,0.0,Call of Dawn
4b9be0e45a2311f09b2d8878734f76cf,4,2,3468,3,Fugue,Lingsha,Ruan Mei,Sunday,1.0,0.0,2.0,0.0,Rime Piercer
4b865a795a2311f0a11e8878734f76cf,4,1,3741,3,Castorice,Ice Trailblazer,Tribbie,Hyacine,0.0,6.0,1.0,0.0,Call of Dawn
4b865a795a2311f0a11e8878734f76cf,4,2,3631,3,Phainon,Sunday,Bronya,Ruan Mei,0.0,0.0,2.0,1.0,Crimson Tide
4b865b635a2311f0b97b8878734f76cf,4,1,3393,3,Firefly,Imaginary Trailblazer,Ruan Mei,Gallagher,0.0,6.0,1.0,6.0,Sweeping Force
4b865b635a2311f0b97b8878734f76cf,4,2,3383,3,Sparkle,Blade,Tribbie,Hyacine,0.0,2.0,0.0,1.0,Turn of Luck
4b9be1315a2311f080a28878734f76cf,4,1,3393,3,Castorice,Hyacine,Sunday,Ice Trailblazer,0.0,0.0,0.0,5.0,Call of Dawn
4b9be1315a2311f080a28878734f76cf,4,2,3290,3,Acheron,Topaz & Numby,Jiaoqiu,Luocha,6.0,0.0,0.0,6.0,Turn of Luck
4b865be95a2311f08f568878734f76cf,4,1,3936,3,Hyacine,Tribbie,Sunday,Castorice,0.0,1.0,2.0,6.0,Call of Dawn
4b865be95a2311f08f568878734f76cf,4,2,3906,3,Ruan Mei,Fugue,Lingsha,Firefly,6.0,6.0,1.0,6.0,Rime Piercer
4b865c595a2311f082218878734f76cf,4,1,3755,3,Hyacine,Castorice,Ice Trailblazer,Ruan Mei,0.0,0.0,6.0,0.0,Call of Dawn
4b865c595a2311f082218878734f76cf,4,2,3176,3,Anaxa,Sunday,Pela,Huohuo,0.0,0.0,6.0,0.0,Rime Piercer
4b865cc05a2311f0a7f78878734f76cf,4,1,3686,3,Ice Trailblazer,Castorice,Hyacine,Ruan Mei,6.0,0.0,0.0,1.0,Call of Dawn
4b865cc05a2311f0a7f78878734f76cf,4,2,3598,3,Robin,Anaxa,Tribbie,Sunday,0.0,0.0,0.0,0.0,Crimson Tide
4b865d295a2311f081408878734f76cf,4,1,3749,3,Castorice,Ice Trailblazer,Tribbie,Hyacine,0.0,6.0,0.0,0.0,Call of Dawn
4b865d295a2311f081408878734f76cf,4,2,3781,3,Feixiao,Robin,Aventurine,Topaz & Numby,0.0,1.0,0.0,1.0,Turn of Luck
4b865d895a2311f086088878734f76cf,4,1,3701,3,Castorice,Ruan Mei,Ice Trailblazer,Hyacine,0.0,3.0,6.0,0.0,Call of Dawn
4b865d895a2311f086088878734f76cf,4,2,3567,3,Feixiao,Topaz & Numby,Aventurine,Robin,1.0,0.0,0.0,0.0,Turn of Luck
4b9be1855a2311f082b98878734f76cf,4,1,3143,2,Castorice,Ice Trailblazer,Ruan Mei,Lingsha,0.0,6.0,0.0,0.0,Call of Dawn
4b9be1855a2311f082b98878734f76cf,4,2,3250,2,Phainon,Sparkle,Sunday,Huohuo,0.0,0.0,0.0,0.0,Crimson Tide
4b865de15a2311f0b8e18878734f76cf,4,1,3336,3,Castorice,Ice Trailblazer,Gallagher,Sunday,0.0,6.0,6.0,0.0,Call of Dawn
4b865de15a2311f0b8e18878734f76cf,4,2,3463,3,Boothill,Fugue,Ruan Mei,Aventurine,0.0,0.0,0.0,0.0,Rime Piercer
4b9be1d35a2311f0bf908878734f76cf,4,1,3323,1,Black Swan,Ruan Mei,Kafka,Lingsha,1.0,0.0,1.0,0.0,Barren of Life
4b9be1d35a2311f0bf908878734f76cf,4,2,905,1,Topaz & Numby,Yunli,Robin,Fu Xuan,0.0,0.0,0.0,0.0,Crimson Tide
4b865e3a5a2311f0bc9b8878734f76cf,4,1,3630,3,Castorice,Hyacine,Ice Trailblazer,Sparkle,0.0,1.0,6.0,1.0,Call of Dawn
4b865e3a5a2311f0bc9b8878734f76cf,4,2,3566,3,Firefly,Ruan Mei,Lingsha,Fugue,0.0,1.0,0.0,0.0,Rime Piercer
4b865e965a2311f0b8278878734f76cf,4,1,3742,3,Acheron,Cipher,Tribbie,Aventurine,6.0,0.0,1.0,0.0,Sweeping Force
4b865e965a2311f0b8278878734f76cf,4,2,3660,3,Phainon,Ice Trailblazer,Sparkle,Sunday,0.0,6.0,0.0,0.0,Crimson Tide
4b865f0c5a2311f09a5a8878734f76cf,4,1,3709,3,Castorice,Ice Trailblazer,Jade,Hyacine,0.0,6.0,0.0,1.0,Call of Dawn
4b865f0c5a2311f09a5a8878734f76cf,4,2,2976,3,Mydei,Sunday,Ruan Mei,Luocha,0.0,0.0,1.0,1.0,Rime Piercer
4b865f725a2311f0bcda8878734f76cf,4,1,3502,2,Gallagher,Pela,Ice Trailblazer,Castorice,6.0,6.0,6.0,0.0,Call of Dawn
4b865f725a2311f0bcda8878734f76cf,4,2,2799,2,Huohuo,Ruan Mei,Fugue,Firefly,0.0,0.0,0.0,0.0,Rime Piercer
4b865fcd5a2311f088e88878734f76cf,4,1,3198,3,Hyacine,Blade,Ruan Mei,Ice Trailblazer,0.0,0.0,0.0,6.0,Sweeping Force
4b865fcd5a2311f088e88878734f76cf,4,2,3648,3,Phainon,Bronya,Sunday,Tribbie,0.0,5.0,0.0,0.0,Crimson Tide
4b9be2215a2311f0b9f68878734f76cf,4,1,3525,3,Castorice,Hyacine,Tribbie,Ice Trailblazer,0.0,0.0,0.0,6.0,Call of Dawn
