uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4,cons1,cons2,cons3,cons4,buff
2122a7fd744211f095d18878734f76cf,4,1,31240,3,The Herta,Anaxa,Tribbie,Gallagher,0,0.0,0.0,6.0,Intertextuality
2122a7fd744211f095d18878734f76cf,4,2,39240,3,Phainon,Sunday,Ice Trailblazer,Robin,0,0.0,6.0,1.0,Intertextuality
2122a8f4744211f088c08878734f76cf,4,1,22440,0,Argenti,The Herta,Sparkle,Fu Xuan,1,0.0,0.0,0.0,Intertextuality
2122a8f4744211f088c08878734f76cf,4,2,11480,0,Feixiao,Robin,Moze,Aventurine,0,0.0,3.0,0.0,Misplacement
20dfca5b744211f0a1a08878734f76cf,4,1,35000,3,Castorice,Tribbie,Ice Trailblazer,Gallagher,0,1.0,6.0,6.0,Misplacement
20dfca5b744211f0a1a08878734f76cf,4,2,29080,3,Saber,Sunday,Robin,Hyacine,0,1.0,1.0,0.0,Intertextuality
20e0f322744211f08ecb8878734f76cf,4,1,40000,3,Ruan Mei,Gallagher,Black Swan,Kafka,1,4.0,1.0,0.0,Exposition
20e0f322744211f08ecb8878734f76cf,4,2,37560,3,Hyacine,Blade,Sunday,Tribbie,0,1.0,0.0,0.0,Misplacement
20e0f4fd744211f0bb398878734f76cf,4,1,35040,3,Kafka,Black Swan,Ruan Mei,Huohuo,0,0.0,0.0,0.0,Exposition
20e0f4fd744211f0bb398878734f76cf,4,2,40000,3,Ice Trailblazer,Castorice,Hyacine,Tribbie,4,2.0,0.0,0.0,Misplacement
20e0f641744211f088908878734f76cf,4,1,26480,3,The Herta,Sunday,Herta,Gallagher,0,0.0,6.0,6.0,Intertextuality
20e0f641744211f088908878734f76cf,4,2,40000,3,Castorice,Sparkle,Tribbie,Hyacine,2,2.0,1.0,0.0,Intertextuality
20e0f76b744211f090438878734f76cf,4,1,40000,3,Yunli,Tribbie,Robin,Luocha,0,1.0,1.0,0.0,Misplacement
