uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4,cons1,cons2,cons3,cons4,buff
1000000,4,1,3768,3,Phainon,Cerydra,Ice Trailblazer,Dan Heng • Permansor Terrae,2,0,6,0,Armed Up
1000000,4,2,3312,3,Mydei,Sunday,Tribbie,Gallagher,0,0,0,6,Innervation
1000001,4,1,3733,3,Phainon,Sunday,Cerydra,Ruan Mei,0,1,0,0,Armed Up
1000001,4,2,3699,3,Castorice,Ice Trailblazer,Tribbie,Hyacine,0,6,1,0,Unstoppable Force
1000002,4,1,3530,3,Hysilens,Kafka,Black Swan,Gallagher,0,0,1,4,Obstinate Weed
1000002,4,2,3344,3,Hyacine,Blade,Ruan Mei,Sunday,0,2,1,0,Unstoppable Momentum
1000003,4,1,3099,3,Fugue,Firefly,Ruan Mei,Lingsha,0,2,0,0,Rime Piercer
1000003,4,2,3804,3,Ice Trailblazer,Castorice,Hyacine,Evernight,4,2,0,0,Unstoppable Force
1000004,4,1,3243,3,Firefly,Fugue,Ruan Mei,Gallagher,2,0,1,6,Rime Piercer
1000004,4,2,3894,3,Castorice,Evernight,Tribbie,Hyacine,2,0,1,0,Unstoppable Force
1000005,4,1,3074,3,Firefly,Imaginary Trailblazer,Ruan Mei,Lingsha,0,6,1,0,Rime Piercer
1000005,4,2,3730,3,Castorice,Hyacine,Tribbie,Evernight,0,0,0,0,Unstoppable Force
1008466,4,1,3392,3,Saber,Robin,Ruan Mei,Aventurine,0,1,1,0,Rime Piercer
1008466,4,2,3905,3,Castorice,Evernight,Tribbie,Hyacine,2,0,1,0,Unstoppable Force
1000006,4,1,3705,3,Firefly,Fugue,Ruan Mei,Imaginary Trailblazer,2,1,1,6,Rime Piercer
1000006,4,2,3528,3,Castorice,Blade,Cipher,Hyacine,0,6,0,0,Unstoppable Force
1000007,4,1,3620,3,Phainon,Cerydra,Sunday,Huohuo,0,0,0,0,Armed Up
1000007,4,2,3179,3,Mydei,Sparkle,Tribbie,Gallagher,1,0,0,4,Unstoppable Momentum
