uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4,cons1,cons2,cons3,cons4
1000000,12,1,3,3,Castorice,Ice Trailblazer,Hyacine,Tribbie,0,6,0,1
1000000,12,2,3,3,Phainon,Sunday,Cerydra,Dan Heng • Permansor Terrae,0,1,0,0
1000000,11,1,1,3,Phainon,Sunday,Cerydra,Dan Heng • Permansor Terrae,0,1,0,0
1000000,11,2,1,3,Castorice,Ice Trailblazer,Hyacine,Tribbie,0,6,0,1
1000000,10,1,0,3,Castorice,Ice Trailblazer,Hyacine,Tribbie,0,6,0,1
1000000,10,2,0,3,Phainon,Sunday,Cerydra,Dan Heng • Permansor Terrae,0,1,0,0
1000001,12,1,8,3,Hyacine,Blade,Sunday,Ruan Mei,0,2,0,1
1000001,12,2,8,3,Hysilens,Dan Heng • Permansor Terrae,Kafka,Black Swan,0,0,0,1
1000001,11,1,3,3,Hysilens,Dan Heng • Permansor Terrae,Kafka,Black Swan,0,0,0,1
1000001,11,2,3,3,Hyacine,Blade,Sunday,Ruan Mei,0,2,0,1
1000001,10,1,0,3,Hysilens,Dan Heng • Permansor Terrae,Kafka,Black Swan,0,0,0,1
1000001,10,2,0,3,Hyacine,Blade,Sunday,Ruan Mei,0,2,0,1
1000004,12,1,10,3,Castorice,Evernight,Tribbie,Hyacine,0,0,0,0
1000004,12,2,10,3,Yunli,Ice Trailblazer,Robin,Dan Heng • Permansor Terrae,0,6,0,0
1000004,11,1,4,3,Castorice,Evernight,Tribbie,Hyacine,0,0,0,0
1000004,11,2,4,3,Firefly,Imaginary Trailblazer,Ruan Mei,Lingsha,0,6,1,0
1000004,10,1,1,3,Firefly,Imaginary Trailblazer,Ruan Mei,Lingsha,0,6,1,0
1000004,10,2,1,3,Castorice,Evernight,Tribbie,Hyacine,0,0,0,0
1000006,12,1,6,3,The Herta,Anaxa,Aventurine,Silver Wolf,2,0,2,0
1000006,12,2,6,3,Phainon,Sunday,Bronya,Dan Heng • Permansor Terrae,2,1,6,0
1000006,11,1,2,3,Aglaea,Sunday,Robin,Dan Heng • Permansor Terrae,1,1,0,0
1000006,11,2,2,3,Evernight,Ice Trailblazer,Silver Wolf,Hyacine,0,6,0,0
1000006,10,1,1,3,Castorice,Evernight,Silver Wolf,Hyacine,0,0,0,0
1000006,10,2,1,3,Hysilens,Kafka,Black Swan,Dan Heng • Permansor Terrae,0,2,0,0
1015432,12,1,12,2,The Herta,Evernight,Jade,Fu Xuan,0,0,0,1
1015432,12,2,12,2,Kafka,Hysilens,Black Swan,Dan Heng • Permansor Terrae,1,0,0,0
1015432,11,1,5,3,Kafka,Hysilens,Black Swan,Dan Heng • Permansor Terrae,1,0,0,0
1015432,11,2,5,3,The Herta,Evernight,Jade,Luocha,0,0,0,0
1015432,10,1,6,3,The Herta,Evernight,Jade,Fu Xuan,0,0,0,1
1015432,10,2,6,3,Kafka,Hysilens,Black Swan,Dan Heng • Permansor Terrae,1,0,0,0
1000007,12,1,4,3,Saber,Sparkle,Ice Trailblazer,Silver Wolf,6,3,6,6
1000007,12,2,4,3,Firefly,Fugue,Lingsha,Ruan Mei,6,0,0,1
