uid,floor,round_num,star_num,ch1,ch2,ch3,ch4,cons1,cons2,cons3,cons4,buff,hard_mode
1000000,1,4,2,Firefly,Imaginary Trailblazer,Ruan Mei,Gallagher,0,6,0,6,,False
1000000,2,1,3,Phainon,Sunday,Cerydra,Robin,0,1,0,1,,False
1000000,3,1,3,Hyacine,Bronya,Tribbie,Castorice,0,3,1,0,,False
1000000,4,6,1,Hyacine,Ice Trailblazer,Tribbie,Castorice,0,6,1,0,Hammer and Anvil,False
1000001,1,4,2,Boothill,Gallagher,Fugue,Ruan Mei,0,4,0,1,,False
1000001,2,2,3,Hysilens,Kafka,Bailu,Black Swan,0,0,2,1,,False
1000001,3,1,3,Hyacine,Blade,Sunday,Tribbie,0,2,0,0,,False
1000001,4,6,1,Hyacine,Blade,Sunday,Ruan Mei,0,2,0,1,Think Outside the Box,False
1000002,1,3,2,Fugue,Firefly,Ruan Mei,Lingsha,0,2,0,0,,False
1000002,2,6,1,Saber,Sunday,Robin,Huohuo,0,0,0,0,,False
1000002,3,0,3,Ice Trailblazer,Castorice,Hyacine,Evernight,4,2,0,0,,False
1000002,4,3,2,Ice Trailblazer,Castorice,Hyacine,Evernight,4,2,0,0,Think Outside the Box,False
1000003,1,1,3,Firefly,Fugue,Ruan Mei,Gallagher,2,0,1,6,,False
1000003,2,4,2,Acheron,Sparkle,Jiaoqiu,Aventurine,2,2,0,0,,False
1000003,3,0,3,Castorice,Evernight,Tribbie,Hyacine,2,0,1,0,,False
1000003,4,2,3,Castorice,Evernight,Tribbie,Hyacine,2,0,1,0,Hammer and Anvil,False
1000004,1,3,2,Firefly,Imaginary Trailblazer,Ruan Mei,Lingsha,0,6,1,0,,False
1000004,2,6,1,Blade,Bronya,Tribbie,Hyacine,0,2,0,0,,False
1000004,3,4,2,Castorice,Evernight,Huohuo,Gallagher,0,0,0,6,,False
1000004,4,4,2,Castorice,Evernight,Tribbie,Hyacine,0,0,0,0,Hammer and Anvil,False
1000005,1,1,3,Castorice,Ruan Mei,Silver Wolf,Gallagher,2,1,0,6,,False
1000005,2,1,3,Saber,Tribbie,Ice Trailblazer,Luocha,0,1,6,0,,False
1000005,3,2,3,Evernight,Yunli,Robin,Hyacine,0,0,1,0,,False
1000005,4,0,3,Castorice,Tribbie,Hyacine,Evernight,2,1,0,1,Think Outside the Box,False
1000006,1,0,3,Firefly,Fugue,Ruan Mei,Imaginary Trailblazer,2,1,1,6,,False
1000006,2,1,3,Kafka,Hysilens,Black Swan,Aventurine,2,0,0,2,,False
1000006,3,0,3,Castorice,Blade,Cipher,Hyacine,0,6,0,0,,False
1000006,4,6,1,Castorice,Blade,Cipher,Hyacine,0,6,0,0,Think Outside the Box,False
1015429,1,6,1,Archer,Sparkle,Silver Wolf,Gallagher,0,0,0,4,,False
1015432,1,5,1,Luocha,Firefly,Ruan Mei,Imaginary Trailblazer,0,0,0,6,,False
1015432,2,3,2,Natasha,Hysilens,Kafka,Black Swan,6,0,1,0,,False
1000007,1,0,3,Firefly,Lingsha,Fugue,Ruan Mei,6,0,0,1,,False
1000007,2,2,3,Kafka,Black Swan,Robin,Huohuo,6,0,0,0,,False
1000007,3,0,3,Saber,Ice Trailblazer,Silver Wolf,Fu Xuan,6,6,6,1,,False
1000007,4,0,3,Saber,Silver Wolf,Ice Trailblazer,Huohuo,6,6,6,0,Think Outside the Box,False
1000008,1,0,3,Firefly,Fugue,Ruan Mei,Lingsha,6,1,1,1,,False
1000008,2,0,3,Hysilens,Kafka,Black Swan,Cipher,1,2,1,0,,False
1000008,3,0,3,Castorice,Hyacine,Tribbie,Ice Trailblazer,0,0,1,6,,False
1000008,4,2,3,Hysilens,Kafka,Black Swan,Hyacine,1,2,1,0,Hammer and Anvil,False
1000009,1,2,3,Anaxa,Ruan Mei,Ice Trailblazer,Asta,0,1,6,6,,False
1000009,2,4,2,Yunli,Robin,Aventurine,Topaz & Numby,1,0,1,1,,False
1000009,3,0,3,The Herta,Fu Xuan,Jade,Tribbie,2,1,1,1,,False
1015433,1,3,2,Rappa,Fugue,Ruan Mei,Gallagher,0,1,1,6,,False
1015433,2,5,1,Acheron,Kafka,Black Swan,Bailu,2,6,0,3,,False
1000010,1,6,1,Boothill,Ruan Mei,Fugue,Gallagher,0,0,0,6,,False
1000010,2,5,1,Phainon,Sunday,Bronya,Aventurine,0,0,2,0,,False
1000011,1,5,1,Firefly,Fugue,Ruan Mei,Aventurine,0,0,0,1,,False
1000012,1,1,3,Gallagher,Ruan Mei,Fugue,Rappa,6,1,1,0,,False
1000012,2,4,2,Saber,Sunday,Ice Trailblazer,Huohuo,0,0,6,0,,False
1000012,3,1,3,Hyacine,Cipher,Tribbie,Castorice,0,0,0,0,,False
1000012,4,4,2,Castorice,Ice Trailblazer,Evernight,Hyacine,0,6,0,0,Infantry and Calvary,False
1000013,1,0,3,Firefly,Ruan Mei,Lingsha,Fugue,2,1,1,0,,False
1000013,2,1,3,Feixiao,Robin,Aventurine,Cipher,2,2,2,0,,False
1000013,3,0,3,Castorice,Tribbie,Hyacine,Evernight,2,1,0,1,,False
1000013,4,0,3,Castorice,Tribbie,Hyacine,Evernight,2,1,0,1,Think Outside the Box,False
1000014,1,4,2,Ruan Mei,Fugue,Gallagher,Imaginary Trailblazer,1,0,6,6,,False
1000014,2,5,1,Anaxa,Sunday,Robin,Huohuo,0,0,0,0,,False
1000014,3,0,3,Castorice,Tribbie,Evernight,Hyacine,1,0,0,0,,False
1000014,4,3,2,Castorice,Tribbie,Evernight,Hyacine,1,0,0,0,Think Outside the Box,False
1015435,1,5,1,Lingsha,Ruan Mei,Firefly,Imaginary Trailblazer,0,0,0,6,,False
1015435,2,5,1,Mydei,Sunday,Silver Wolf,Luocha,0,1,0,0,,False
1015435,3,0,3,Hyacine,Tribbie,Castorice,Evernight,0,1,0,0,,False
1015435,4,5,1,Hyacine,Tribbie,Evernight,Castorice,0,1,0,0,Infantry and Calvary,False
1000016,1,1,3,Firefly,Fugue,Lingsha,Ruan Mei,2,0,0,1,,False
1000016,2,1,3,Kafka,Black Swan,Aventurine,Hysilens,0,1,0,0,,False
1000016,3,0,3,Castorice,Ice Trailblazer,Tribbie,Hyacine,2,6,1,1,,False
1000016,4,0,3,Evernight,Castorice,Tribbie,Hyacine,1,2,1,1,Think Outside the Box,False
1000017,1,3,2,Firefly,Ruan Mei,Fugue,Gallagher,1,0,0,6,,False
1000017,2,4,2,Saber,Robin,Sunday,Bailu,1,0,1,4,,False
1000017,3,1,3,Castorice,Hyacine,Tribbie,Ice Trailblazer,0,0,0,6,,False
1000017,4,6,1,Castorice,Ice Trailblazer,Hyacine,Tribbie,0,6,0,0,Think Outside the Box,False
1000018,1,4,2,Aglaea,Sunday,Aventurine,Tribbie,0,1,0,2,,False
1000018,3,1,3,Phainon,Ice Trailblazer,Huohuo,Robin,2,6,0,0,,False
1000019,1,2,3,Aglaea,Dan Heng • Permansor Terrae,Robin,Sunday,0,0,0,1,,False
1000019,2,4,2,Castorice,Gallagher,Ruan Mei,Silver Wolf,2,6,1,0,,False
1000019,3,1,3,Evernight,Hyacine,Ice Trailblazer,Pela,0,0,6,6,,False
1000019,4,1,3,Castorice,Evernight,Hyacine,Ruan Mei,2,0,0,1,Think Outside the Box,False
1000020,1,4,2,Phainon,Cerydra,Bronya,Dan Heng • Permansor Terrae,0,0,2,0,,False
1000020,2,3,2,Hysilens,Aventurine,Kafka,Black Swan,0,1,0,0,,False
1000020,3,3,2,Castorice,Evernight,Tribbie,Gallagher,0,0,0,6,,False
1000021,2,6,1,Acheron,Jiaoqiu,Aventurine,Sunday,2,0,0,0,,False
1000022,1,2,3,Firefly,Fugue,Ruan Mei,Lingsha,4,0,0,0,,False
1000022,2,2,3,Saber,Sparkle,Sunday,Luocha,6,0,0,1,,False
1000022,3,2,3,Hysilens,Kafka,Silver Wolf,Fu Xuan,0,6,0,1,,False
1000022,4,6,1,Saber,Silver Wolf,Ice Trailblazer,Luocha,6,0,6,1,Think Outside the Box,False
1000023,1,2,3,Ruan Mei,Fugue,Firefly,Imaginary Trailblazer,0,0,0,6,,False
1000023,2,1,3,Sunday,Phainon,Aventurine,Cerydra,0,2,0,0,,False
1000023,3,3,2,Luocha,Castorice,Tribbie,Evernight,0,0,0,0,,False
1000023,4,4,2,Phainon,Cerydra,Dan Heng • Permansor Terrae,Sunday,2,0,0,0,Infantry and Calvary,False
1000024,1,2,3,Rappa,Fugue,Ruan Mei,Lingsha,0,0,0,0,,False
1000024,2,2,3,Archer,Sparkle,Silver Wolf,Gallagher,1,1,0,6,,False
1000024,3,2,3,The Herta,Anaxa,Tribbie,Dan Heng • Permansor Terrae,0,0,0,1,,False
1000024,4,4,2,Archer,Sparkle,Dan Heng • Permansor Terrae,Silver Wolf,1,1,1,0,Hammer and Anvil,False
1000025,1,0,3,Fugue,Ruan Mei,Rappa,Imaginary Trailblazer,1,1,0,6,,False
1000025,2,5,1,Robin,Yunli,Aventurine,Silver Wolf,1,0,0,0,,False
1000025,3,1,3,Archer,Gallagher,Tribbie,Sparkle,1,6,1,0,,False
1000025,4,5,1,Archer,Dan Heng • Permansor Terrae,Tribbie,Sparkle,1,0,1,0,Hammer and Anvil,False
1000026,1,0,3,Lingsha,Fugue,Ruan Mei,Imaginary Trailblazer,1,2,1,6,,False
1000026,2,0,3,Hyacine,Evernight,Sparkle,Bronya,6,2,2,3,,False
1000026,3,0,3,Dan Heng • Permansor Terrae,Sunday,Robin,Tribbie,6,1,1,1,,False
1000026,4,2,3,Ice Trailblazer,Tribbie,Evernight,Hyacine,6,1,2,6,Think Outside the Box,True
1000027,1,3,2,Firefly,Fugue,Ruan Mei,Huohuo,0,0,0,1,,False
1000027,2,3,2,Kafka,Black Swan,Robin,Bailu,0,2,0,3,,False
1000027,3,1,3,Castorice,Evernight,Tribbie,Luocha,0,0,0,0,,False
1000027,4,6,1,Castorice,Evernight,Ice Trailblazer,Luocha,0,0,6,0,Think Outside the Box,False
1000028,1,4,2,Phainon,Cerydra,Sparkle,Dan Heng • Permansor Terrae,0,0,0,0,,False
1000028,2,4,2,Kafka,Hysilens,Robin,Huohuo,0,0,0,0,,False
1000028,3,1,3,Castorice,Evernight,Hyacine,Ice Trailblazer,0,0,1,6,,False
1000028,4,4,2,Castorice,Hyacine,Evernight,Ice Trailblazer,0,1,0,6,Think Outside the Box,False
1000029,1,4,2,Ruan Mei,Firefly,Imaginary Trailblazer,Gallagher,0,0,6,6,,False
1000029,3,0,3,Tribbie,Castorice,Hyacine,Evernight,0,0,0,0,,False
1000030,1,4,2,Firefly,Fugue,Ruan Mei,Gallagher,0,0,0,2,,False
1000030,2,5,1,Anaxa,The Herta,Dan Heng • Permansor Terrae,Robin,0,0,1,0,,False
1000030,3,1,3,Sunday,Mydei,Tribbie,Hyacine,0,0,0,0,,False
