uid,player_level,character,char_level,path,light_cone,light_cone_level,attack_lvl,skill_lvl,ultimate_lvl,talent_lvl,HP,ATK,DEF,SPD,CRIT Rate,CRIT DMG,DMG Boost,Outgoing Healing Boost,Energy Regeneration Rate,Effect RES,Effect Hit Rate,Break Effect,SPD sub,HP sub,ATK sub,DEF sub,CRIT Rate sub,CRIT DMG sub,Effect RES sub,Effect Hit Rate sub,Break Effect sub,Body,Feet,Sphere,Rope,relic,ornament
1ead3b72617a11f0ac478878734f76cf,70,Phainon,80,Physical,Thus Burns the Dawn,80.0,7,10,12,10,3204.134,3180.509,1279.77,111.0,81.8,199.204,38.88,0.0,0.0,3.888,10.368,0.0,0.0,0.0,30.24,14.58,32.4,95.904,3.888,10.368,0.0,CRIT Rate,ATK,Physical DMG Boost,ATK,Wavestrider Captain,Arcadia of Woven Dreams
1ead3b72617a11f0ac478878734f76cf,70,Jing Yuan,80,Lightning,Before Dawn,80.0,3,10,10,10,3008.681,2981.401,1175.764,135.232,72.728,214.104,38.88,0.0,0.0,3.456,0.0,12.312,11.2,0.0,32.4,9.72,23.328,112.104,3.456,0.0,12.312,CRIT Rate,SPD,Lightning DMG Boost,ATK,The Ashblazing Grand Duke,The Wondrous BananAmusement Park
1ead3b72617a11f0ac478878734f76cf,70,Sunday,80,Imaginary,A Grounded Ascent,80.0,1,10,10,10,4777.45,1555.753,1432.283,133.692,16.664,248.004,0.0,0.0,24.439,26.208,8.208,5.832,6.9,19.872,4.32,13.5,11.664,95.904,8.208,8.208,5.832,CRIT DMG,SPD,HP,Energy Regeneration Rate,Sacerdos' Relived Ordeal,"Lushaka, the Sunken Seas"
1ead3b72617a11f0ac478878734f76cf,70,Feixiao,80,Wind,I Venture Forth to Hunt,80.0,1,10,10,10,3120.078,3186.251,1061.42,151.132,100.856,150.44,0.0,0.0,0.0,6.912,0.0,17.496,14.1,19.008,0.0,9.72,30.456,100.44,6.912,0.0,17.496,CRIT Rate,SPD,ATK,ATK,The Wind-Soaring Valorous,"Duran, Dynasty of Running Wolves"
1ead3b72617a11f0ac478878734f76cf,70,Robin,80,Physical,Flowing Nightglow,80.0,1,10,10,10,3776.953,4647.623,1018.402,140.6,14.072,62.312,0.0,0.0,24.439,0.0,6.912,0.0,33.6,7.776,43.2,5.4,9.072,12.312,0.0,6.912,0.0,ATK,ATK,ATK,Energy Regeneration Rate,"Musketeer of Wild Wheat, Prisoner in Deep Confinement","Lushaka, the Sunken Seas"
1ead6070617a11f0a90c8878734f76cf,70,Phainon,80,Physical,Thus Burns the Dawn,80.0,6,10,10,10,3823.221,2811.083,1301.951,111.0,84.068,160.324,38.88,0.0,0.0,3.456,10.8,11.664,0.0,25.92,4.32,4.86,34.668,57.024,3.456,10.8,11.664,CRIT Rate,ATK,Physical DMG Boost,ATK,Wavestrider Captain,Arcadia of Woven Dreams
1ead6070617a11f0a90c8878734f76cf,70,Trailblazer,80,Ice,Victory In a Blink,80.0,5,12,8,12,3266.136,1702.142,1705.11,167.032,5.0,207.204,0.0,0.0,24.439,3.888,11.232,23.328,39.0,15.12,12.528,4.32,0.0,31.104,3.888,11.232,23.328,CRIT DMG,SPD,DEF,Energy Regeneration Rate,Eagle of Twilight Line,Sprightly Vonwacq
1ead6070617a11f0a90c8878734f76cf,70,Mydei,80,Imaginary,"Flame of Blood, Blaze My Path",80.0,6,10,10,10,8206.436,1287.181,838.013,137.132,31.144,192.276,0.0,0.0,0.0,0.0,19.44,38.88,12.1,19.008,3.456,15.66,18.144,40.176,0.0,19.44,38.88,CRIT DMG,SPD,HP,HP,Scholar Lost in Erudition,Bone Collection's Serene Demesne
1ead6070617a11f0a90c8878734f76cf,70,Robin,80,Physical,Flowing Nightglow,80.0,1,10,10,10,3624.33,4594.238,1201.441,138.7,10.832,50.0,0.0,0.0,24.439,3.456,0.0,27.216,31.7,10.8,40.176,18.9,5.832,0.0,3.456,0.0,27.216,ATK,ATK,ATK,Energy Regeneration Rate,"Prisoner in Deep Confinement, The Wind-Soaring Valorous",Sprightly Vonwacq
1ead6070617a11f0a90c8878734f76cf,70,Ruan Mei,80,Ice,Past Self in Mirror,80.0,1,10,10,10,3095.704,1824.016,2007.611,155.332,7.916,62.96,0.0,0.0,24.439,8.208,10.8,184.58,21.3,4.32,15.552,13.5,2.916,12.96,8.208,10.8,71.28,DEF,SPD,Fire DMG Boost,Energy Regeneration Rate,"Watchmaker, Master of Dream Machinations","Lushaka, the Sunken Seas"
1ead6070617a11f0a90c8878734f76cf,70,Tribbie,80,Quantum,Dance! Dance! Dance!,80.0,6,10,10,10,5261.69,1493.817,1445.948,88.32,65.276,187.74,10.0,0.0,19.439,20.304,0.0,10.368,0.0,15.552,15.984,25.38,48.276,35.64,20.304,0.0,10.368,CRIT DMG,HP,HP,Energy Regeneration Rate,Poet of Mourning Collapse,Bone Collection's Serene Demesne
1ead6070617a11f0a90c8878734f76cf,70,Sunday,80,Imaginary,A Grounded Ascent,80.0,1,10,10,10,4677.767,1546.106,1376.679,134.592,13.748,229.86,0.0,0.0,24.439,54.288,0.0,37.584,7.8,20.304,3.456,10.26,8.748,77.76,36.288,0.0,37.584,CRIT DMG,SPD,HP,Energy Regeneration Rate,Sacerdos' Relived Ordeal,"Penacony, Land of the Dreams"
1ead6070617a11f0a90c8878734f76cf,70,Bronya,80,Wind,But the Battle Isn't Over,80.0,1,10,10,10,4404.041,1603.346,1237.951,143.172,11.48,207.488,8.0,0.0,31.439,32.096,22.896,36.288,13.2,7.344,12.528,18.9,6.48,68.688,12.096,22.896,36.288,CRIT DMG,SPD,HP,Energy Regeneration Rate,Sacerdos' Relived Ordeal,Broken Keel
