uid,player_level,character,char_level,path,light_cone,light_cone_level,attack_lvl,skill_lvl,ultimate_lvl,talent_lvl,HP,ATK,DEF,SPD,CRIT Rate,CRIT DMG,DMG Boost,Outgoing Healing Boost,Energy Regeneration Rate,Effect RES,Effect Hit Rate,Break Effect,SPD sub,HP sub,ATK sub,DEF sub,CRIT Rate sub,CRIT DMG sub,Effect RES sub,Effect Hit Rate sub,Break Effect sub,Body,Feet,Sphere,Rope,relic,ornament
1000000,70,Phainon,80,Physical,Thus Burns the Dawn,80,5,10,10,10,3419.749,3407.886,1157.451,122.5,86.884,195.316,0.0,0.0,0.0,7.344,6.912,11.664,11.5,10.8,7.776,0.0,29.484,92.016,7.344,6.912,11.664,CRIT Rate,ATK,ATK,ATK,Wavestrider Captain,Rutilant Arena
1000000,70,Anaxa,80,Wind,The Great Cosmic Enterprise,80,1,9,8,9,3092.768,3247.347,953.535,141.032,98.772,107.672,22.4,0.0,0.0,14.688,0.0,0.0,19.0,8.208,24.624,5.4,33.372,57.672,14.688,0.0,0.0,CRIT Rate,SPD,ATK,ATK,Scholar Lost in Erudition,Rutilant Arena
1000000,70,Mydei,80,Imaginary,"Flame of Blood, Blaze My Path",80,1,10,8,9,9294.489,1330.1,759.815,142.832,31.144,190.332,0.0,0.0,0.0,12.528,0.0,11.664,17.8,11.664,8.208,19.98,18.144,103.032,12.528,0.0,11.664,HP,SPD,HP,HP,Scholar Lost in Erudition,Bone Collection's Serene Demesne
1000000,70,Dr. Ratio,80,Imaginary,Baptism of Pure Thought,80,2,9,7,10,2705.976,2988.425,1311.612,141.532,63.668,191.824,38.88,0.0,0.0,23.328,7.344,0.0,13.5,0.0,15.984,19.98,34.668,57.024,23.328,7.344,0.0,CRIT DMG,SPD,Imaginary DMG Boost,ATK,Pioneer Diver of Dead Waters,Inert Salsotto
1000000,70,Aventurine,80,Imaginary,Inherently Unjust Destiny,80,5,10,7,10,3416.443,1443.539,4951.127,141.932,34.16,113.504,14.4,0.0,0.0,20.0,7.776,12.312,10.9,19.872,16.416,21.06,29.16,63.504,0.0,7.776,12.312,DEF,SPD,DEF,DEF,Knight of Purity Palace,Broken Keel
1000000,70,Robin,80,Physical,But the Battle Isn't Over,80,1,10,10,2,3537.206,3969.356,1137.59,129.7,19.256,77.864,0.0,0.0,34.439,15.552,13.824,11.664,22.7,7.776,24.192,19.98,14.256,27.864,15.552,13.824,11.664,ATK,ATK,ATK,Energy Regeneration Rate,"Musketeer of Wild Wheat, Prisoner in Deep Confinement",Sprightly Vonwacq
1000000,70,Dan Heng â€¢ Imbibitor Lunae,80,Imaginary,Brighter Than the Sun,80,6,7,10,8,3613.492,2045.828,779.777,136.232,58.652,161.456,32.4,0.0,0.0,7.344,0.0,11.664,9.2,16.416,12.096,0.0,23.652,46.656,7.344,0.0,11.664,CRIT DMG,SPD,,,"Prisoner in Deep Confinement, Wastelander of Banditry Desert",
1000000,70,Sushang,60,Physical,,,1,1,1,1,1244.721,858.339,476.958,134.332,20.876,84.992,0.0,0.0,0.0,7.344,8.208,16.2,2.3,20.304,7.776,35.64,10.692,34.992,7.344,8.208,16.2,CRIT Rate,SPD,Imaginary DMG Boost,ATK,"Musketeer of Wild Wheat, Flex",
1000001,70,Robin,80,Physical,Past Self in Mirror,80,6,10,10,10,4301.282,4140.401,1202.435,121.7,16.988,50.0,0.0,0.0,24.439,11.664,0.0,60.0,14.7,27.216,30.672,5.4,11.988,0.0,11.664,0.0,0.0,ATK,ATK,ATK,Energy Regeneration Rate,"Musketeer of Wild Wheat, Prisoner in Deep Confinement",Sprightly Vonwacq
1000001,70,Tribbie,80,Quantum,Dance! Dance! Dance!,80,6,10,10,10,4879.145,1571.292,1458.927,90.92,63.98,170.244,10.0,0.0,24.439,11.664,14.688,0.0,2.6,8.64,18.576,24.84,14.58,82.944,11.664,14.688,0.0,CRIT Rate,HP,HP,Energy Regeneration Rate,Poet of Mourning Collapse,"Penacony, Land of the Dreams"
